arxiv_id,title,abstract,family_rule,task_rule,family_true,task_true
2307.11742,Evidence for Pseudogap Phase in Cerium Superhydrides: CeH$_{10}$ and CeH$_9$,"Polyhydride superconductors have been shown to possess metallic properties with a Bardeen-Cooper-Schrieffer-type superconducting ground state. Here, we provide evidence for unconventional transport associated with a pseudogap phase in cubic cerium superhydride CeH$_{10}$ ($\textit{T}$$_C$ = 116 K) at pressure of 115-125 GPa. A large negative magnetoresistance in the non-superconducting state below 90 K, quasi $\textit{T}$-linear electrical resistance, and a sign-change of its temperature dependence mark the emergence of this phase. We studied the magnetic phase diagrams and the upper critical fields $\textit{B}$$_{C2}$(T) of CeH$_{10}$, CeH$_9$, and CeD$_9$ in pulsed fields up to 70 T. $\tex",conv,characterization,,
2307.00201,"The near room-temperature upsurge of electrical resistivity in Lu-H-N is not superconductivity, but a metal-to-poor-conductor transition","Since the discovery of superconductivity in mercury at 4 K in 1911, searching for materials with superconductivity at higher temperatures towards practical conditions has been a primary enduring goal. The recent report of room-temperature superconductivity at near-ambient pressure in nitrogen-doped lutetium hydride (Lu-H-N) by Dasenbrock-Gammon et al. (Hereafter referred as D-G) seems a great step approaching the ultimate goal. Specifically, they claimed evidence of superconductivity on Lu-H-N with a maximum Tc of 294 K at 1 GPa. However, the failure to observe the drastic temperature-dependent resistance change above 200 K in high-pressure synthesized Lu-H-N compounds, a prerequisite for su",conv,characterization,,
2505.14591,Superconducting properties of thin film $\mathrm{Nb_{1-x}Ti_xN}$ studied via the NMR of implanted $^8$Li,"We report measurements of the normal-state and superconducting properties of thin-film $\mathrm{Nb_{1-x}Ti_xN}$ using $^{8}$Li $β$-detected nuclear magnetic resonance ($β$-NMR). In these experiments, radioactive $^{8}$Li$^{+}$ probes were implanted $\sim21$ nm below the surface of a $\mathrm{Nb_{1-x}Ti_xN}$(91 nm) film in $\mathrm{Nb_{0.75}Ti_{0.25}N}$(91 nm)/AlN(4 nm)/Nb and its NMR response recorded (via $^{8}$Li's $β$-emissions) between 4.6 K and 270 K in a 4.1 T field applied normal to its surface. Resonance measurements reveal wide, symmetric lineshapes at all temperatures, with significant additional broadening below the film's superconducting transition temperature $T_\mathrm{c}(0 \; ",conv,characterization,,
2205.07665,"Schroedinger representation of quantum mechanics, Berry connection, and superconductivity","The standard quantum mechanical electronic state calculations for molecules and solids uses the Schroedinger representation where the momentum conjugate to the coordinate $q_r$ is given by $-hbar {partial over {partial q_r}}$. This formalism contains an extra $U(1)$ phase degree-of-freedom. We show that it can be regarded as a Berry phase arising from many-electron interaction, and when it is non-trivial, it gives rise to a current carrying ground state identified as the superconducting ground state. The connection between this superconducting state and the BCS one is presented.",conv,theory,,
2510.04431,Systematic evolution of superconducting pairing strength and Seebeck coefficients in correlated infinite-layer La$_{1-x}$Sr$_x$NiO$_2$,"The recently discovered superconducting infinite-layer nickelates offer a novel platform to explore an exotic pairing mechanism in multi-band systems towards high-temperature superconductivity and associated rich quantum phases, contrasting with cuprates. Here, we show that infinite-layer (La,Sr)NiO$_2$ exhibits strong-coupling superconductivity, resilient to in-plane magnetic fields exceeding 47 T at optimal doping - more than twice the Pauli limit for conventional BCS superconductors. This violation becomes pronounced towards the underdoped regime, implying an intriguing evolution of pairing glue. The unexpected observation of positive Seebeck coefficients in this regime indicates the pres",conv,characterization,,
2208.05816,Superconductivity above 80 K in polyhydrides of hafnium,Studies on polyhydrides are attracting growing attentions recently due to their potential high temperature superconductivity (SC). We here report the discovery of SC in hafnium polyhydrides at high pressures. The hafnium superhydrides are synthesized at high pressure and high temperature conditions using diamond anvil cell in combination with in-situ high pressure laser heating technique. The SC was investigated by in-situ high pressure resistance measurements in applied magnetic fields. A superconducting transition with onset Tc ~83 K was observed at 243 GPa. The upper critical field Hc2(0) was estimated to be 24 Tesla by GL theory and the consequent superconducting coherent length to be ~3,conv,discovery,,
2211.08759,Neglected $U(1)$ phase in the Schroedinger representation of quantum mechanics and particle number conserving formalisms for superconductivity,"Superconductivity is reformulated as a phenomenon in which a stable velocity field is created by a $U(1)$ phase neglected by Dirac in the Schroedinger representation of quantum mechanics. The neglected phase gives rise to a $U(1)$ gauge field expressed as the Berry connection from many-body wave functions. The inclusion of this gauge field transforms the standard particle-number non-conserving formalism of superconductivity to a particle-number conserving one with many results of the former unaltered. In other words, the new formalism indicates that the current standard one is an approximation that effectively takes into account this neglected $U(1)$ gauge field by employing the particle-num",conv,theory,,
2602.16783,3D Unconventional Superconductivity in Bulk LaO,"Lanthanum-based compounds are cornerstones of superconductivity research, yet the La-5d orbitals typically remain empty spectator states far above the Fermi level (EF). While superconductivity has been induced in LaO up to 5.37 K in tensile epitaxy films, the intrinsic ground state of the bulk phase has remained controversial mostly due to synthetic challenges, with early reports suggesting a metallic nature. Here we report the high-pressure and high-temperature synthesis of pure bulk rock-salt LaO and unveil its intrinsic type-II superconductivity with a transition temperature (TC) of ~6 K at ambient pressure. The bulk TC is further enhanced to 6.9 K in La1-xYxO at x = 0.10, where Y doping ",conv,synthesis,,
2507.02296,Symmetries of electron interactions in Hubbard models of unconventional superconductors,"We use symmetry arguments to show that the matrix elements of electron-electron interaction on a lattice reach extrema in states composed of wavevectors near high-symmetry points of the Brillouin zone. The mechanism is illustrated by minimal models of cuprates and Fe-based superconductors, where this dependence originates from the wavevector-dependent orbital composition of wavefunctions. We discuss how these dependences can facilitate finite-momentum pairing. Our results provide symmetry-based guidance for the search for new high-temperature superconductors.",conv,theory,,
2111.15017,Standard Superconductivity in Carbonaceous Sulfur Hydride,"The recently discovered room temperature superconductivity (RTSC) in carbonaceous sulfur hydride reveals the promise of a new superconducting technological era. Since the publication of that report, there has been discussion and debate about this technology. In particular, Hirsch et al. argue that all the recently discovered superconducting hydrides are incorrect, incorrectly interpreted, or point to BCS theory being wrong. A recent publication regarding the RTSC discovery argues that more detailed information about the RTSC discovery is needed. This manuscript aims to respond to this concern by providing the raw data under question as well as providing discussion regarding other aspects of ",conv,discovery,,
